student_id,student_name,subject,assessment,score
STU-001,Student 1,Mathematics,Quiz 1,48
STU-001,Student 1,Mathematics,Quiz 2,52
STU-001,Student 1,Physics,Quiz 1,68
STU-001,Student 1,Physics,Quiz 2,72
STU-001,Student 1,English,Quiz 1,81
STU-001,Student 1,English,Quiz 2,84
STU-002,Student 2,Mathematics,Quiz 1,75
STU-002,Student 2,Mathematics,Quiz 2,79
STU-002,Student 2,Physics,Quiz 1,58
STU-002,Student 2,Physics,Quiz 2,62
STU-002,Student 2,English,Quiz 1,88
STU-002,Student 2,English,Quiz 2,90
STU-003,Student 3,Mathematics,Quiz 1,35
STU-003,Student 3,Mathematics,Quiz 2,42
STU-003,Student 3,Physics,Quiz 1,54
STU-003,Student 3,Physics,Quiz 2,56
STU-003,Student 3,English,Quiz 1,70
STU-003,Student 3,English,Quiz 2,73
STU-004,Student 4,Mathematics,Quiz 1,90
STU-004,Student 4,Mathematics,Quiz 2,92
STU-004,Student 4,Physics,Quiz 1,85
STU-004,Student 4,Physics,Quiz 2,88
STU-004,Student 4,English,Quiz 1,76
STU-004,Student 4,English,Quiz 2,79
STU-005,Student 5,Mathematics,Quiz 1,62
STU-005,Student 5,Mathematics,Quiz 2,65
STU-005,Student 5,Physics,Quiz 1,40
STU-005,Student 5,Physics,Quiz 2,45
STU-005,Student 5,English,Quiz 1,78
STU-005,Student 5,English,Quiz 2,80
STU-006,Student 6,Mathematics,Quiz 1,82
STU-006,Student 6,Mathematics,Quiz 2,85
STU-006,Student 6,Physics,Quiz 1,77
STU-006,Student 6,Physics,Quiz 2,80
STU-006,Student 6,English,Quiz 1,91
STU-006,Student 6,English,Quiz 2,93
STU-007,Student 7,Mathematics,Quiz 1,55
STU-007,Student 7,Mathematics,Quiz 2,58
STU-007,Student 7,Physics,Quiz 1,64
STU-007,Student 7,Physics,Quiz 2,67
STU-007,Student 7,English,Quiz 1,46
STU-007,Student 7,English,Quiz 2,50
STU-008,Student 8,Mathematics,Quiz 1,72
STU-008,Student 8,Mathematics,Quiz 2,75
STU-008,Student 8,Physics,Quiz 1,89
STU-008,Student 8,Physics,Quiz 2,91
STU-008,Student 8,English,Quiz 1,83
STU-008,Student 8,English,Quiz 2,86
STU-009,Student 9,Mathematics,Quiz 1,44
STU-009,Student 9,Mathematics,Quiz 2,47
STU-009,Student 9,Physics,Quiz 1,73
STU-009,Student 9,Physics,Quiz 2,76
STU-009,Student 9,English,Quiz 1,60
STU-009,Student 9,English,Quiz 2,63
STU-010,Student 10,Mathematics,Quiz 1,86
STU-010,Student 10,Mathematics,Quiz 2,89
STU-010,Student 10,Physics,Quiz 1,51
STU-010,Student 10,Physics,Quiz 2,55
STU-010,Student 10,English,Quiz 1,74
STU-010,Student 10,English,Quiz 2,77
